name,field_location_longitude,field_location_latitude
Jmayal,35.89798176,31.47471862
Msaitbah,35.97929887,31.47427403
Mshairfah,35.87693028,31.47852643
Ramil,35.86737173,31.56121112
Buhairat (Mansheat El-suareah),35.879021,31.51140285
Abu Hlaileefeh,35.91074024,31.54517474
Rojom Eqab,35.94873381,31.50597122
Rojom Fhaid,35.94839337,31.54039501
Salyeh,35.93807024,31.45145014
Thrayya,35.97702076,31.43460278
Um Rsas,35.9167307,31.50603543
Yahoon,35.84695564,31.46471742
Toar Hashash,35.85451878,31.54619204
Elayyan,35.88373158,31.53197551
Damki,36.07373398,31.34279624
"Khraibet Essooq, Jawa, Yadoodeh",35.91278207,31.8605199
"Um Qsair, Moqabaleen",35.90773659,31.90059773
"Alquaismeh, Aljwaydeh, Abu Alanda,Alrajeeb",35.95707442,31.91975929
Binayat,35.87747245,31.88778335
Um El-Kindam,35.88342783,31.86817559
Marka,36.00676822,31.98577688
Tareq,35.98156463,32.00816959
Alnaser,35.9784159,31.94678046
Basman,35.97020922,31.97722088
Rmedan,36.04223639,31.90216377
Baidha,36.05946088,31.91550416
Mowaqqar,36.10725406,31.80932265
Faisaliyyeh,36.05001968,31.84919059
Ghazaleh,36.0715021,31.80366137
Hunaifiyyeh,36.16848233,31.7812693
Manshiyyeh,36.11778878,31.82099723
Naqera,36.08658236,31.83378064
Raudet Hussen Namuthajeh,36.18029521,31.82549248
Um Botmah,36.06824969,31.82181221
Zmailat,36.04710198,31.83388954
Jnab,36.19643719,31.80109665
Hatmeia,36.09468044,31.79837284
Maghayer Mhanna,36.12819687,31.8378107
Dhaibeh Sharqiyyeh,36.04718844,31.80606829
Hashimeyyah,36.00938462,31.78798661
Dhaibeh Gharbiyyeh,36.02277066,31.80635581
Rojom Shami Gharbi,36.0011333,31.83721923
Salem,35.97783177,31.85067759
Rojom Shami Sharqi,36.01446554,31.82985016
Mshkar,35.79713845,31.78677576
Rawdhah,35.82674508,31.83187206
Hesban,35.80859258,31.80011013
Karmet Hesban,35.81232942,31.80820533
Manshiyyet Hesban,35.82268091,31.81637198
Sail Hesban,35.78969731,31.82872362
Bal'as,35.84925108,31.86712902
Na'oor,35.82690044,31.87821828
Abu Naqlah,35.84160288,31.85576563
Adasiyyeh,35.76177742,31.86647737
Ajajreh,35.82925917,31.85188711
Basset Na'oor,35.7978954,31.85669558
Ewailiyyeh,35.82884461,31.86253951
"Manshiyyeh,Um El-Qottain",35.81562992,31.85520255
Mansoorah,35.83107456,31.84349222
Torky,35.74855003,31.85108762
Zbood,35.78115607,31.85895722
Amireah,35.80158304,31.86614809
Adbayan,35.85427928,31.84244082
Gbeih,35.89314269,31.80748521
El-A'al,35.83649666,31.81568325
Masooh,35.8390062,31.78123723
Samek,35.85979599,31.79424748
Um El-Berak,35.86618325,31.81313227
Um El-Asaker,35.86707468,31.84105407
Um El-Basatien,35.86980693,31.82514919
Almadina,35.93577724,31.95323183
Alabdaly,35.9155126,31.96235036
Alyarmok,35.94499786,31.94494158
Bader,35.91378169,31.93791907
Zahran,35.87502296,31.93850914
Ras Alain,35.92982113,31.91933126
Khashafiyyet Janubyyeh,36.03496509,31.87269631
Zamlet Olia,36.103774,31.86378534
Sahab,36.01564321,31.84895898
Manakher,36.08871633,31.89041563
Ka'afour,36.16144906,31.87436247
Khashafiyyet Shamalyyeh,36.04616869,31.888618
Madhouna,36.15896616,31.91618486
Abdaliyyeh,36.01948955,31.89816889
Um El-Sumaq,35.86586479,31.8838244
Bahath,35.76917055,31.88896542
Wadi Eshta,35.79632375,31.9084649
