name,field_location_longitude,field_location_latitude
Khirbat Al Arnab,36.447,32.319
Khirbat As Sa3adah,36.606,32.346
Abu Gharah,36.321,32.169
Khirbat An Nuriyah,36.34,32.284
Al Madhbah,36.133,32.517
Wadi Az Zulayl,36.05,32.15
Khirbat Wada3ah,36.049,32.153
Raas Wadi As Saqrah,36.033,32.167
Nuqayb Al Bawl,36.1,32.167
Al Mutillah,36.116,32.307
Umm Kharrubah,36.002,32.309
Khunayzir,36.053,32.305
Urqub Abu al Fatais,36.001,32.078
Al Nasreiah,,
Awjan al Gharbi,36.065,32.023
Khirbat Khanna,36.368,32.127
Dab3an El Mashagbeh,,
Awjan Ash Shamali,36.09,32.043
Khirbat Juraybah,35.997,32.055
Urqub As Samman,36.025,32.064
Khirbat Shawmar,36.058,32.084
Iraq Abu Az Zighan,36.033,32.1
Az Zawahreh,,
Muhafazat Zarqa,36.833,31.833
Sabir,35.95,32.09
Sarrut,35.96,32.146
Al Adhmah,35.883,32.133
Jabal Al Ulu,35.912,32.141
Al Makhzat,,
Umm Nukhaylah,37.399,31.701
Qasr Usaykhim,36.952,31.946
Rujm Fuhud,36.392,32.053
Al Habbabiyah,36.56,32.055
Al Ghamr,37.28,31.678
Jurat As Salamah,36.05,32.117
Khirbat Makhul,36.075,32.117
Wadi As Si3ah,36.117,32.133
Abu As Salih,36.09,32.158
Ma3amel At Toob,,
Khirbat Al Mansurah,35.693,32.305
Khirbat Al Mushayrifah,35.693,32.309
Khirbat Afna,35.807,32.381
Al Mazar,35.649,31.822
Ad Durrah,34.967,29.372
Makhfar Gharandal,35.214,30.076
Al Bahr,35.639,31.069
Khirbat At Tur,35.704,31.074
Khirbat Zabdah,35.659,31.096
Nakhal,35.783,31.067
Khirbat Rujm Ash Shawk,35.935,32.073
Daba3ah,36.05,31.55
Mahaaif Az Zabaair,35.9,31.683
Al Mahattah,35.971,31.967
Rujm Al Mudawwarah,35.965,31.996
Qasr Al Bint,35.867,30.683
Mashru3 Tawtin Al Badu,36.02,30.851
Khirbat As Sahbaniyah,35.669,30.774
Khirbat As Sila3,35.567,30.783
Khirbat Furayj,35.671,30.803
Khirbat as Sab3ah,35.633,30.883
Khirbat Falah,35.583,32.25
Khirbat Ash Shaykh Mohammed,35.583,32.433
Khirbat Marqa3ah,35.607,32.506
Khirbat Tha3laa,35.671,32.475
Khirbat Umaydat,35.633,32.5
Marhaba,35.675,32.511
Khirbat Al Marama,35.796,32.478
Khirbat al Mushayrifah,35.66,32.588
Khirbat Qaraqush,35.877,32.705
Khirbat Al Kufayrat,35.934,32.48
Al Hammah As Samraa,35.65,31.681
Raas Al Ghawr,35.567,31.467
Al Hammah As Samraa,35.574,31.572
Khirbat Al Maqlub,35.683,32.4
Khirbat Umayrah,36.442,32.31
Khirbat Sumyia,36.24,32.443
Khirbat Al Mukhayzin,36.106,32.286
Mushayrifah Ash Sharqiyah,35.995,32.375
Janna3h,36.089,32.053
Khirbat Khaww,36.128,32.09
Rujm Al Madba3ah,35.843,32.139
Azraq Ash Shishan,36.815,31.833
Jilaad,35.75,32.417
Khirbat Shin,35.806,32.389
Khirbat Ash Shubbak,35.79,32.09
Rujm Ash Shajarah,35.85,32.093
Umm Tall,35.833,32.119
Mazar Abu Ubaydah,35.62,32.227
Khirbat Al Muqbilah,35.803,32.014
Khirbat Ar Rusayfah,35.646,31.179
Urqoub Rashid,35.694,32.177
Khirbat Umm Rummanah,35.701,31.997
Qurayyat Nafi3,35.952,31.868
Khirbat al Qabw,35.754,32.032
Al Mashnaqah,35.483,31.017
As Samraa,35.75,31.367
Khirbat Al Askar,35.977,30.985
Ar Raas,35.633,31.367
Al Fityan,35.85,31.25
